"","�..Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Pages","Issue","Volume","Series","Publisher","Place","Language","Extra","Manual.Tags","Automatic.Tags","Editor","origin_DB"
"readlyc _hyriidae.1","XQU4X5G6","journalArticle",2009,"Lasso, Alejandro, Carlos A.Martínez-Escarbassiere, RafaelCapelo, Juan CarlosMorales-Betancourt, Mónica A.Sánchez-Maya","Lista de los moluscos (Gastropoda-Bivalvia) dulceacuícolas y estuarinos de la cuenca del Orinoco (Venezuela)","Biota Colombiana",NA,"0124-5376",NA,"https://www.redalyc.org/articulo.oa?id=49115088005","Se realizó una revisión bibliográfica y de colecciones en museos, así como de datos originales de los autores, para reconocer las especies dulceacuícolas y estuarinas de moluscos gastrópodos y bivalvos presentes en la cuenca del Orinoco (Venezuela). Se consolida un listado preliminar para la cuenca de 104 especies distribuidas entre la clase Gastropoda (14 familias y 58 especies) y la clase Bivalvia (13 familias y 45 especies). Entre los gastrópodos la familia Ampullaridae fue la más diversa (22 sp.) y entre los bivalvos, Mycetopodidae (16 sp.). Se incluye información sobre la distribución geográfica en las subcuencas de la Orinoquia, además de información de su uso, importancia sanitaria, hábitos ecológicos y tipo de sustrato asociado a las especies.","2009","2021-08-11 16:12:23","2021-08-11 16:12:23",NA,NA,NA,NA,NA,NA,"Español",NA,"geographic distribution; bivalves; bivalvos; distribución geográfica; fresh and brackish water mollusk; gastrópodos; gastropods; moluscos dulceacuícolas y estuarinos; Orinoquia; Venezuela.",NA,NA,"readlyc _hyriidae"
"readlyc _hyriidae.2","8KGNJ5MJ","journalArticle",2008,"Rumi, Gustavo A., AlejandraGutiérrez Gregoric, Diego E.Núñez, VerónicaDarrigran","Malacología Latinoamericana: Moluscos de agua dulce de Argentina","Revista de Biología Tropical",NA,"0034-7744",NA,"https://www.redalyc.org/articulo.oa?id=44918831006","Se presenta un estado de situación y una lista actualizada y comentada sobre las especies de moluscos de agua dulce de la República Argentina. Se aborda en Gastropoda y Bivalvia la distribución a nivel de familias; las entidades endémicas, exóticas, invasoras y de importancia sanitaria. Los moluscos relacionados a la cuenca del Plata presentan la mayor riqueza específica. Base de datos: 4 500 registros relevados de las tres colecciones más importantes de la Argentina: MLP, MACN y FML. Además, se incluye información de recolecciones actuales y localidades citadas por otros autores. Hasta el presente han sido descritas 166 especies. De ellas 101 pertenecen a 10 familias de Gastropoda y 65 a 7 de Bivalvia. Las familias que presentan mayor riqueza específica son Lithoglyphidae (22) y Sphaeriidae (25), respectivamente. Sphaeriidae, Cochliopidae, Chilinidae y Lymnaeidae se distribuyen prácticamente en todo el país. Erodonidae y Solecurtidae se registran en ambientes mixohalinos de la provincia de Buenos Aires. Thiaridae y Glacidorbiidae presentan una distribución muy restringida. Especies endémicas de la Argentina: Gastropoda: Ampullariidae (1), Cochliopidae (10), Lithoglyphidae (11), Thiariidae (3), Chilinidae (11), Lymnaeidae (2) y Physidae (2?); Bivalvia: Hyriidae (1?); Etheriidae (1?) y Sphaeriidae (10). Especies de interés sanitario: propagadoras de: Esquistosomiasis, Biomphalaria peregrina, B. straminea y B. tenagophila (Planorbidae); Fasciolasis, Lymnaea viatrix y L. columnella (Lymnaeidae); y dermatitis esquistosómicas, Chilina gibbosa y C. fluminea (Chilinidae). Especies de origen asiático: Corbicula fluminea (Corbiculidae) y Limnoperna fortunei (Mytilidae). Es prioritaria la formación de áreas protegidas para la conservación de especies endémicas, especialmente de la Mesopotamia Argentina.","2008","2021-08-11 16:12:24","2021-08-11 16:12:24",NA,NA,NA,NA,NA,NA,"Español",NA,"Bivalvia; Argentina.; Freshwater molluscs; Gastropoda; Moluscos de agua dulce",NA,NA,"readlyc _hyriidae"
"readlyc _hyriidae.3","DD3WNFGH","journalArticle",2007,"Prates, Nicanor, LucianoMarsans","El uso de moluscos de agua dulce (Diplodon chilensis patagonicus) en el sitio Angostura 1 (Departamento de General Conesa, Río Negro)","Intersecciones en Antropología",NA,"1666-2105",NA,"https://www.redalyc.org/articulo.oa?id=179514534026","En esta nota se presentan los resultados del estudio de las valvas de moluscos de agua dulce (Diplodon chilensis patagonicus) recuperadas en el componente inferior del sitio arqueológico Angostura 1 (Departamento de General Conesa, provincia de Río Negro). Los atributos tenidos en cuenta para el análisis de los especímenes fueron: lateralidad de las valvas, tamaño, estado de fragmentación y presencia de periostraco; en forma secundaria se consideraron otras variables tales como evidencias de combustión y relación espacial con el resto de los materiales. A partir de estos datos y de la información contextual se propone la asociación de las valvas con el registro arqueológico del sitio (materiales líticos, cerámicos, óseos y vegetales) y se discuten algunos procesos de formación vinculados con la actividad humana.","2007","2021-08-11 16:12:24","2021-08-11 16:12:24",NA,NA,NA,NA,NA,NA,"Español",NA,"Moluscos de agua dulce; Freshwater mollusks; Negro River; Procesos de formación de sitio.; Río Negro; Site formation processes.",NA,NA,"readlyc _hyriidae"
"readlyc _hyriidae.4","L8A64ZPK","journalArticle",2017,"Cruz-Soto, Rebeca, RafaelQuesada-Céspedes","Aspectos reproductivos de Anodonta Luteola Lea 1858 (Unionoida: Unionidae) en Cañas, Guanacaste, Costa Rica","Uniciencia",NA,"",NA,"https://www.redalyc.org/articulo.oa?id=475950939006","Se estudiaron los aspectos reproductivos de Anodonta luteola. Las muestras se obtuvieron de mayo de 2014 a abril de 2015 de un estanque de cultivo de tilapia (Oreochromis niloticus). El sexo se determinó mediante frotis de la gónada. La relación sexual se calculó dividiendo el número de hembras por el de machos y se utilizó la prueba de Chi-cuadrado para determinar sus diferencias significativas. Se determinó que A. luteola es dioica y la proporción sexual fue de 1.21:1 machos/hembras; sin embargo, el test Chi-cuadrado no mostró diferencias significativas de la proporción 1:1 (X2 =3.112, p>0.05). Las hembras se clasificaron en no grávidas y grávidas. Se calculó el índice de condición como IC = peso fresco de la carne / (longitud x altura diámetro) x 1000. Además, se calculó el rendimiento en carne. De acuerdo con los resultados, esta especie desova durante todo el año. Los picos de desove se observaron durante los meses de junio, agosto, octubre, marzo y abril. Las temperaturas más elevadas marcaron los principales picos de desove. El índice de condición no mostró correlación con ninguno de los estados de desarrollo de las demibranquias de las hembras. El rendimiento en carne osciló entre 47% y 51%.","2017","2021-08-11 16:12:24","2021-08-11 16:12:24",NA,NA,NA,NA,NA,NA,"Español",NA,"Reproduction; Condición; Condition; Rendimiento.; Reproducción; Yield.",NA,NA,"readlyc _hyriidae"
"readlyc _hyriidae.5","FYTKFVNQ","journalArticle",2003,"Letelier, Esteban, SergioVega, Marco A.Ramos, Ana MaríaCarreño","Base de datos del Museo Nacional de Historia Natural: moluscos de Chile","Revista de Biología Tropical",NA,"0034-7744",NA,"https://www.redalyc.org/articulo.oa?id=44911879008","La colección de moluscos, de Chile y de otras partes del mundo, depositada en las actuales dependencias del Laboratorio de Malacología del Museo Nacional de Historia Natural (MNHN) de Chile, es el resultado de un proceso de recolección que se inició con los fundadores de la historia natural de Chile desde 1782, con Juan I. Molina, Claudio Gay en 1854 y R. A. Philippi a partir de 1853, entre otros naturalistas. Importante fue el aporte realizado por D¿Orbigny que realizó descripciones de malacofauna de Chile, observadas en sus expediciones a América Latina, entre 1826 y 1833. Actualmente, la colección está en una etapa de organización, catalogación y recuperación de piezas originalmente descritas por Rudolfo A. Philippi, así como de numerosas donaciones y canjes que el naturalista recibió siendo director del Museo. El estudio y documentación de las colecciones de moluscos ha sido un proceso lento y ha obedecido, preferentemente, al desarrollo de trabajos en aquellos grupos de mayor interés de los investigadores que han estado a cargo del Phylum. A partir del año 1997, comenzó un nuevo proceso, con la habilitación de salas de trabajo y de depósito (Sala Colección Philippi y Chilena). También se ha abordado su ubicación en la taxonomía actual y se están mejorando sus condiciones de conservación. Muchos de los actuales lotes de moluscos terrestres, marinos y de aguas continentales e insulares deben ser revisados. Existen numerosos especímenes de otras latitudes que han sido ingresados a la base de datos. Por lo tanto, de acuerdo a la bibliografía consultada y datos sobre colecciones en el país, se registran para Chile, seis clases, 34 órdenes, 254 familias, 596 géneros y 1492 especies","2003","2021-08-11 16:12:24","2021-08-11 16:12:24",NA,NA,NA,NA,NA,NA,"Español",NA,".; Chile; collection.; data base; Moluscs",NA,NA,"readlyc _hyriidae"
"readlyc _hyriidae.6","MYRQQ6FL","journalArticle",2014,"Morelli, Ana, EnriqueVerdi","Diversidad de macroinvertebrados acuáticos en cursos de agua dulce con vegetación ribereña nativa de Uruguay","Revista Mexicana de Biodiversidad",NA,"1870-3453",NA,"https://www.redalyc.org/articulo.oa?id=42532670017","Uruguay cuenta con una densa red hidrográfica, a pesar de ello, el conocimiento de las comunidades de macroinvertebrados acuáticos es insuficiente. Sumado a esto, en las últimas décadas se ha producido un avance en la forestación con especies exóticas, provocando cambios en la vegetación ribereña de algunos ríos. El objetivo de esta investigación fue determinar la composición y estructura trófica de la comunidad de macroinvertebrados así como su relación con algunos parámetros fisicoquímicos en 8 ríos donde el bosque nativo se encuentra bien conservado, y sentar las bases para futuros estudios. Las muestras fueron recolectadas entre diciembre de 2006 a diciembre de 2007. Temperatura, oxígeno disuelto, pH y conductividad se midieron in situ . Se determinaron la composición y la abundancia taxonómicas y se realizaron análisis de componentes principales y de correspondencia canónica con los parámetros fisicoquímicos y biológicos. La diversidad alfa se calculó utilizando los índices de Shannon-Weaver (H’), dominancia de Simpson (D) y equidad de Pielou (J’). Para la determinación de la diversidad beta se empleó índice de similitud de Bray-Curtis. Un total de 1 291 ejemplares pertenecientes a 92 taxones fueron registrados. Los taxa más abundantes fueron Ephemeroptera (36%), Amphipoda (17%) y Coleoptera (12%). Los ríos muestran una gran diversidad y una baja dominancia. Conductividad, pH y temperatura fueron los factores principales en la determinación de la distribución y composición de los macroinvertebrados.","2014","2021-08-11 16:12:24","2021-08-11 16:12:24",NA,NA,NA,NA,NA,NA,"Español",NA,"Biodiversity; Biodiversidad; Black River basin.; comunidades macrobentónicas; cuenca Río Negro.; macrobenthic communities",NA,NA,"readlyc _hyriidae"
"readlyc _hyriidae.7","NCJ52CFP","journalArticle",2014,"Zubimendi, Julián Eduardo, Miguel ÁngelMoreno","La presencia de artefactos arqueomalacológicos en la localidad arqueológica Delta del arroyo Vulcana (lago Musters, provincia del Chubut)","Intersecciones en Antropología",NA,"1666-2105",NA,"https://www.redalyc.org/articulo.oa?id=179532230005","En este trabajo se presenta el estudio de artefactos arqueomalacológicos recuperados en la localidad arqueológica Delta del arroyo Vulcana, ubicada en la margen noroeste del lago Musters (provincia del Chubut). Se registraron –tanto en posición estratigráfica como superficial– cuentas de collar, artefactos y restos indeterminados. Algunas piezas pudieron ser identificadas a nivel taxonómico, y corresponden a gasterópodos marinos de la familia Volutidae procedente del océano Atlántico, mientras que respecto de las restantes piezas –debido a su grado de alteración tafonómica y modificación antrópica– no se pudo determinar a qué especies correspondían. El estudio de los artefactos arqueomalacológicos registrados en la Patagonia no sólo constituye un aporte al conocimiento general del rol que tuvieron los moluscos para las sociedades cazadoras recolectoras que habitaron esta región, sino que también brinda información sobre otros múltiples aspectos de estas poblaciones. En este sentido, los resultados son contextualizados y discutidos en relación con la movilidad, el intercambio y la existencia de redes de interacción que abarcaban la costa y el interior patagónico. Se destacan las evidencias que permiten establecer relaciones entre la zona donde se halla el sitio Delta Vulcana 1 y otras zonas de la región patagónica.","2014","2021-08-11 16:12:24","2021-08-11 16:12:24",NA,NA,NA,NA,NA,NA,"Español",NA,"Artefactos malacológicos; Central Patagonia.; Cuentas de collar; Distribución; Distribution; Malacological artefacts; Patagonia central.; Shell beads",NA,NA,"readlyc _hyriidae"
"readlyc _hyriidae.8","9VYFDXLV","journalArticle",2016,"Carneiro Silva, Ciro, Mariana LessaReis Rangel, ElisângelaLansac-Tôha, Fabio AmodêoFatoreto Schwind, Leilane TalitaYoshio Joko","An annotated checklist of the Arcella (Arcellidae) from littoral zone of Paranoá lake-Brazil, with a pictorial key","Acta Scientiarum. Biological Sciences",NA,"1679-9283",NA,"https://www.redalyc.org/articulo.oa?id=187147823014","","2016","2021-08-11 16:12:24","2021-08-11 16:12:24",NA,NA,NA,NA,NA,NA,"Español",NA,"Arcellidae; biological diversity; center west.; centro-oeste.; diversidade biológica; plâncton; plankton; Protist; Protista; taxonomia; taxonomy",NA,NA,"readlyc _hyriidae"
"readlyc _hyriidae.9","CMALB843","journalArticle",2014,"Martello, Carla B., Alcemar R.Hepp, Luiz U.Kotzian","Distribution and additive partitioning of diversity infreshwater mollusk communities in Southern Brazilian streams","Revista de Biología Tropical",NA,"0034-7744",NA,"https://www.redalyc.org/articulo.oa?id=44931382004","","2014","2021-08-11 16:12:24","2021-08-11 16:12:24",NA,NA,NA,NA,NA,NA,"Español",NA,"Neotropics; Distribución; Distribution; agregación.; beta diversity; clumped.; diversidad beta; escalas espaciales; Neotrópico; spatial scale",NA,NA,"readlyc _hyriidae"
"readlyc _hyriidae.10","ESGJIRWW","journalArticle",2007,"LANTERI, Analía A.","Código de barras del ADN y sus posibles aplicaciones en el campo de la Entomología","Revista de la Sociedad Entomológica Argentina",NA,"0373-5680",NA,"https://www.redalyc.org/articulo.oa?id=322028491004","","2007","2021-08-11 16:12:24","2021-08-11 16:12:24",NA,NA,NA,NA,NA,NA,"Español",NA,"ADN. Código de barras. Entomología. Sistemática.; DNA. Barcoding life. Entomology. Systematics.",NA,NA,"readlyc _hyriidae"
