"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"V5CDDQCZ","journalArticle","2003","Castro Rojas, J. A., G. VRodríguez Pulido","Estudio bioecológico de la almejade agua dulce (anodontites sp)","Orinoquia","","0121-3709","","https://www.redalyc.org/articulo.oa?id=89670204","La almeja de agua dulce,como también los demásbivalvos, tiene la capacidadde incorporar en sus tejidosblandos, cantidades importantesde elementos metálicospresentes en el mediosin que, en principio, sumetabolismo se vea afectado.Este proceso recibe elnombre de bioacumulación.Este hecho conviertea los bivalvos en un buengrupo de bioindicadorescon el fin de establecer elgrado de contaminación delmedio circundante.El presente estudio describeel crecimiento y la mortalidadde las almejas deagua dulce en jaulas sumergidasen un estanquepiscícola destinado a laceba de tilapia roja,Oreochromis sp. Los ejemplaresadultos deAnodontites sp., fuerontraídos del río Meta en laregión de Marayal, colectadosdurante los meses dediciembre, enero y febrero,aprovechando los nivelesmás bajos del río (252 cm,111,2 cm y 112,0 cm) respectivamente,y ubicandolas almejas en los playones,madres viejas y lagunas. Setransportaron en recipientesabiertos sin necesidadde aireación durante treshoras, luego permanecieronen cuarentena en piletas decemento y con recambiopermanente. Bajo las condicionesya descritas, lasalmejas alcanzaron hasta96,15 gr. Presentaron incrementospromedios en153 días de cultivo de0,213 gr/día en peso,0,008 cm/día de longitud,0,007 cm/día en el anchoy 0,002 cm/día de alto. Loanterior supone un cultivocon buenas posibilidadesen la producción debiomasa, máxime si podemosdestinar para su cultivoáreas usadas en la disposiciónde aguas residuales,lagunas de oxidación,canales de desagüe, etc.Durante el ensayo fue evidentela necesidad de mantenerlas almejas en fondoslimosos y de aguas con altaproductividad primaria(fitoplancton). Por ser organismosfiltradores no requierende alimento preparadoya que lo obtienen delplancton, sedimentos y sustanciassuspendidas en elagua. Dada la capacidad defiltración, se considera quelas almejas tienen la capacidadde renovar el agua delos estanques donde se cultiven,mejorando por consiguientelas condicionespara el crecimiento de otrasespecies (peces)","2003","2021-08-11 16:13:01","2021-08-11 16:13:01","","","","","","","","","","","","","","","Español","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6RVJXMY8","journalArticle","2011","Mallama Leyton, Angela Inés, Juan RenéGuzmán Alvis","Evaluación de la tasa de aclaración de la almeja dulceacuicola Anodontites tortolis en un medio con coliformes Escherichia coli","Acta Agronómica","","0120-2812","","https://www.redalyc.org/articulo.oa?id=169922363007","","2011","2021-08-11 16:13:01","2021-08-11 16:13:01","","","","","","","","","","","","","","","Español","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YQFW8SHU","journalArticle","2009","Lasso, Alejandro, Carlos A.Martínez-Escarbassiere, RafaelCapelo, Juan CarlosMorales-Betancourt, Mónica A.Sánchez-Maya","Lista de los moluscos (Gastropoda-Bivalvia) dulceacuícolas y estuarinos de la cuenca del Orinoco (Venezuela)","Biota Colombiana","","0124-5376","","https://www.redalyc.org/articulo.oa?id=49115088005","Se realizó una revisión bibliográfica y de colecciones en museos, así como de datos originales de los autores, para reconocer las especies dulceacuícolas y estuarinas de moluscos gastrópodos y bivalvos presentes en la cuenca del Orinoco (Venezuela). Se consolida un listado preliminar para la cuenca de 104 especies distribuidas entre la clase Gastropoda (14 familias y 58 especies) y la clase Bivalvia (13 familias y 45 especies). Entre los gastrópodos la familia Ampullaridae fue la más diversa (22 sp.) y entre los bivalvos, Mycetopodidae (16 sp.). Se incluye información sobre la distribución geográfica en las subcuencas de la Orinoquia, además de información de su uso, importancia sanitaria, hábitos ecológicos y tipo de sustrato asociado a las especies.","2009","2021-08-11 16:13:01","2021-08-11 16:13:01","","","","","","","","","","","","","","","Español","","","","","","","","","","","geographic distribution; bivalves; bivalvos; distribución geográfica; fresh and brackish water mollusk; gastrópodos; gastropods; moluscos dulceacuícolas y estuarinos; Orinoquia; Venezuela.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XAMDUU28","journalArticle","2017","Cruz, Rebeca, Rafael A.Quesada","Taxonomic position and glochidia from the freshwater mussel, Anodonta luteola (Unionoida: Unionidae), in Costa Rica","UNED Research Journal / Cuadernos de Investigación UNED","","1659-4266","","https://www.redalyc.org/articulo.oa?id=515653587005","","2017","2021-08-11 16:13:01","2021-08-11 16:13:01","","","","","","","","","","","","","","","Español","","","","","","","","","","","Anodonta luteola; Costa Rica.; glochidium morphology; morfología del gloquidio; posición taxonómica; taxonomic position","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2DPIEDJ8","journalArticle","2016","López, Gabriel, AdolfoUrcuyo, JaninaVega","Extension of the genus Pseudopeas ( Dysopeas ) (Gastropoda: Subulinidae) from Venezuela to Nicaragua","UNED Research Journal / Cuadernos de Investigación UNED","","1659-4266","","https://www.redalyc.org/articulo.oa?id=515655213028","","2016","2021-08-11 16:13:01","2021-08-11 16:13:01","","","","","","","","","","","","","","","Español","","","","","","","","","","","Dysopeas; extensión de género; genus extension; Nicaragua.; Pseudopeas; Subulinidae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YYU5NQ9I","journalArticle","2003","Ramírez, José, RinaParedes, CarlosArenas","Moluscos del Perú","Revista de Biología Tropical","","0034-7744","","https://www.redalyc.org/articulo.oa?id=44911879012","Perú es un país muy diverso, tanto en especies como en hábitats. Según el sistema de Holdridge 84 de 103 zonas de vida están representadas en el país. En este trabajo se reconocen 18 zonas ecológicas de los cuales dos ecosistemas son marinos. La malacofauna peruana cuenta con 1910 especies registradas. La mayor diversidad está en el mar con 1018 especies de las cuales 570 son gasterópodos, 370 son bivalvos, 36 son cefalópodos, 34 son poliplacóforos, 3 son monoplacóforos, 3 escafópodos y 2 son aplacóforos. Las familias con mayor cantidad de especies son Veneridae (57spp.), Muricidae (47spp.), Collumbellidae (40 spp.) y Tellinidae (37 spp.). El 56% de las especies marinas se presentan en la provincia Panameña, el 11 % están presentes sólo en la provincia Peruana y el porcentaje restante están presentes en ambas provincias. Además hay que destacar que 73 especies marinas son endémicas de Perú. El ambiente terrestre también posee una impresionante diversidad malacológica. Hasta la fecha hay 763 especies reconocidas que representa un 2.54% del total mundial estimado para los moluscos terrestres y el 38% de las especies esperadas para America del Sur. Las familias con mayor cantidad de especies son Bulimulidae con 424 spp., Clausiliidae con 75 spp y Systrophiidae con 55 spp. El grupo de moluscos menos diverso es el de las especies dulceacuícolas, hasta la fecha se han reportado 129 especies. En este grupo se han registrado 35 especies endémicas siendo los hidróbidos los que brindan el mayor aporte (14 spp.). Tanto para moluscos marinos como continentales se analiza los factores que afectan la distribución de las especies, su ecología y su conservación. Además, se establece cuales son las regiones menos estudiades y los grupos que requieren de más atención. Adicionalmente, se comenta sobre la historia del estudio de cada uno de los grupos y su utilización.","2003","2021-08-11 16:13:01","2021-08-11 16:13:01","","","","","","","","","","","","","","","Español","","","","","","","","","","","mollusks; conservation; Biodiversity; .; landsnails; Peru; taxonomy.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YYAKP2IV","journalArticle","2008","Rumi, Gustavo A., AlejandraGutiérrez Gregoric, Diego E.Núñez, VerónicaDarrigran","Malacología Latinoamericana: Moluscos de agua dulce de Argentina","Revista de Biología Tropical","","0034-7744","","https://www.redalyc.org/articulo.oa?id=44918831006","Se presenta un estado de situación y una lista actualizada y comentada sobre las especies de moluscos de agua dulce de la República Argentina. Se aborda en Gastropoda y Bivalvia la distribución a nivel de familias; las entidades endémicas, exóticas, invasoras y de importancia sanitaria. Los moluscos relacionados a la cuenca del Plata presentan la mayor riqueza específica. Base de datos: 4 500 registros relevados de las tres colecciones más importantes de la Argentina: MLP, MACN y FML. Además, se incluye información de recolecciones actuales y localidades citadas por otros autores. Hasta el presente han sido descritas 166 especies. De ellas 101 pertenecen a 10 familias de Gastropoda y 65 a 7 de Bivalvia. Las familias que presentan mayor riqueza específica son Lithoglyphidae (22) y Sphaeriidae (25), respectivamente. Sphaeriidae, Cochliopidae, Chilinidae y Lymnaeidae se distribuyen prácticamente en todo el país. Erodonidae y Solecurtidae se registran en ambientes mixohalinos de la provincia de Buenos Aires. Thiaridae y Glacidorbiidae presentan una distribución muy restringida. Especies endémicas de la Argentina: Gastropoda: Ampullariidae (1), Cochliopidae (10), Lithoglyphidae (11), Thiariidae (3), Chilinidae (11), Lymnaeidae (2) y Physidae (2?); Bivalvia: Hyriidae (1?); Etheriidae (1?) y Sphaeriidae (10). Especies de interés sanitario: propagadoras de: Esquistosomiasis, Biomphalaria peregrina, B. straminea y B. tenagophila (Planorbidae); Fasciolasis, Lymnaea viatrix y L. columnella (Lymnaeidae); y dermatitis esquistosómicas, Chilina gibbosa y C. fluminea (Chilinidae). Especies de origen asiático: Corbicula fluminea (Corbiculidae) y Limnoperna fortunei (Mytilidae). Es prioritaria la formación de áreas protegidas para la conservación de especies endémicas, especialmente de la Mesopotamia Argentina.","2008","2021-08-11 16:13:01","2021-08-11 16:13:01","","","","","","","","","","","","","","","Español","","","","","","","","","","","Bivalvia; Argentina.; Freshwater molluscs; Gastropoda; Moluscos de agua dulce","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DND8CIDP","journalArticle","2017","Duarte, Josue Alejandro, EdwardBayona, GermanJaramillo, CarlosParra, MauricioRomero, IngridMora","Identificación de los máximos eventos de inundación marina miocenos y su uso en la correlación y análisis de la Cuenca de Antepaís de los llanos orientales, Colombia","Boletín de Geología","","0120-0283","","https://www.redalyc.org/articulo.oa?id=349649971002","...","2017","2021-08-11 16:13:01","2021-08-11 16:13:01","","","","","","","","","","","","","","","Español","","","","","","","","","","","Correlation surfaces; cuenca Llanos; eventos de inundación; flooding events; Llanos basin.; miocene; mioceno; Superficies de correlación","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IT4L8TZM","journalArticle","2011","Galli, Lourdes Susana, Claudia InésAnzótegui, Luisa MatildeHorn, Maricel YaninaMorton","Paleoambiente y paleocomunidades de la Formación Palo Pintado (Mioceno-Plioceno), provincia de Salta, Argentina","Revista Mexicana de Ciencias Geológicas","","1026-8774","","https://www.redalyc.org/articulo.oa?id=57220090012","En el presente trabajo se reporta el estudio de los depósitos sedimentarios y fósiles (vegetales, bivalvos y vertebrados) de la Formación Palo Pintado (Grupo Payogastilla, Mioceno Superior) que afloran en el sur de la Provincia de Salta, Argentina. La columna estratigráfica consta de 1,387 m de sedimentos fluviales continentales. Se interpreta el paleoambiente sedimentario mediante el análisis de la arquitectura fluvial, con el fin de lograr una reinterpretación del mismo y relacionar estos resultados con las paleocomunidades y las condiciones paleoclimáticas en el que estas últimas se habrían desarrollado. Con base en las características estratigráficas y sedimentológicas analizadas, se brindan nuevas interpretaciones paleoambiental la secuencia comprende una clase intermedia entre ríos de baja sinuosidad, con canales múltiples y ríos de alta sinuosidad con canal simple conformando un sistema fluvial sinuoso areno-gravoso con desarrollo de lagunas. Las acumulaciones intracanal están conformadas por depósitos de barras gravosas y formas de lecho y los depósitos de overbank están representados por barras de acreción lateral; también se destaca la presencia de canales pequeños identificados como crevasse channel. La llanura de inundación es la zona en donde se pueden reconocer a las lagunas y pantanos que dieron albergue a las comunidades acuáticas y palustres; mientras que si estos depósitos se encuentran asociados a estructuras de desecación y niveles de yeso con canales abandonados, en ellos se habrían desarrollado las sabanas y praderas. Las costas de los lagos y pantanos que se entremezclan con cauces fluviales fueron los lugares donde se desarrolló la comunidad higrófila con bosques de ribera. Las paleocomunidades acuáticas, palustres y los bosques higrófilos fueron estables y se desarrollaron bajo un clima cálido y húmedo, tropical a subtropical, como lo indica, también, el desarrollo de la asociación de minerales de arcillas como illita, esmectita y caolinita. Estas condiciones paleoclimáticas se dieron en una época en que por efecto de cambios en las condiciones climáticas globales, el clima se tornó más seco y la vegetación xérica estuvo plenamente instalada. Las paleocomunidades establecidas para la Formación Palo Pintado contienen integrantes de distintas provincias fitogeográficas actuales, tanto del norte de Argentina como de otras regiones de América del Sur, aunque se considera que las comunidades actuales aún no estaban delimitadas en ese momento, siendo las fósiles antecesoras de las actuales.","2011","2021-08-11 16:13:01","2021-08-11 16:13:01","","","","","","","","","","","","","","","Español","","","","","","","","","","","Argentina.; Formación Palo Pintado; Miocene; Mioceno; Paleoambiente; paleocommunities; paleocomunidades; Paleoenvironment; Palo Pintado Formation; Pliocene; Plioceno","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SSCSY5KY","journalArticle","2017","Pastor, Luis, SebastiánGordillo, SandraTissera","Objetos y paisajes multisensoriales del Holoceno tardío inicial en el centro de Argentina (ca. 3900 años AP). Acerca de un contexto arqueomalacológico de las Sierras de Córdoba","Intersecciones en Antropología","","1666-2105","","https://www.redalyc.org/articulo.oa?id=179554507006","Se presentan los resultados de la investigación de un contexto arqueomalacológico procedente del valle de Punilla (Córdoba, Argentina) y asignado cronológicamente al Holoceno tardío inicial ( ca. 3900 años AP). Este fue detectado en un espacio restringido dentro de un sitio arqueológico definido como un campamento a cielo abierto, en parte utilizado para las prácticas funerarias. Se trata de un depósito intencional formado por 97 cuen- tas de caracol de tamaño grande, confeccionadas con ejemplares adultos de Megalobulimus lorentzianus , una especie terrestre disponible en el medio local. De acuerdo con la interpretación propuesta, se trataría de objetos multisensoriales, con particulares cualidades visuales y sonoras, y utilizados como parte de una indumentaria de carácter ritual. El contexto está relacionado con los procesos del Holoceno tardío inicial en la región, definido como una época de cambios socioculturales para los cazadores-recolectores, con un papel activo ascendente de la materialidad en la creación de nuevas identidades y roles personales.","2017","2021-08-11 16:13:01","2021-08-11 16:13:01","","","","","","","","","","","","","","","Español","","","","","","","","","","","Cuentas de caracol; Emerging personal roles.; Indumentaria ritual; Objetos sonoros; Ritual clothing; Roles personales emergentes.; Snail beads; Sound objects","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
