"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JFSH5ML2","journalArticle","2003","Ramírez, José, RinaParedes, CarlosArenas","Moluscos del Perú","Revista de Biología Tropical","","0034-7744","","https://www.redalyc.org/articulo.oa?id=44911879012","Perú es un país muy diverso, tanto en especies como en hábitats. Según el sistema de Holdridge 84 de 103 zonas de vida están representadas en el país. En este trabajo se reconocen 18 zonas ecológicas de los cuales dos ecosistemas son marinos. La malacofauna peruana cuenta con 1910 especies registradas. La mayor diversidad está en el mar con 1018 especies de las cuales 570 son gasterópodos, 370 son bivalvos, 36 son cefalópodos, 34 son poliplacóforos, 3 son monoplacóforos, 3 escafópodos y 2 son aplacóforos. Las familias con mayor cantidad de especies son Veneridae (57spp.), Muricidae (47spp.), Collumbellidae (40 spp.) y Tellinidae (37 spp.). El 56% de las especies marinas se presentan en la provincia Panameña, el 11 % están presentes sólo en la provincia Peruana y el porcentaje restante están presentes en ambas provincias. Además hay que destacar que 73 especies marinas son endémicas de Perú. El ambiente terrestre también posee una impresionante diversidad malacológica. Hasta la fecha hay 763 especies reconocidas que representa un 2.54% del total mundial estimado para los moluscos terrestres y el 38% de las especies esperadas para America del Sur. Las familias con mayor cantidad de especies son Bulimulidae con 424 spp., Clausiliidae con 75 spp y Systrophiidae con 55 spp. El grupo de moluscos menos diverso es el de las especies dulceacuícolas, hasta la fecha se han reportado 129 especies. En este grupo se han registrado 35 especies endémicas siendo los hidróbidos los que brindan el mayor aporte (14 spp.). Tanto para moluscos marinos como continentales se analiza los factores que afectan la distribución de las especies, su ecología y su conservación. Además, se establece cuales son las regiones menos estudiades y los grupos que requieren de más atención. Adicionalmente, se comenta sobre la historia del estudio de cada uno de los grupos y su utilización.","2003","2021-08-11 16:13:30","2021-08-11 16:13:30","","","","","","","","","","","","","","","Español","","","","","","","","","","","mollusks; conservation; Biodiversity; .; landsnails; Peru; taxonomy.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"424H2E6T","journalArticle","2014","Cortés, Jorge","Compilación y análisis de las investigaciones científicas sobretemas marinos y atmosféricos en el Pacífico Norte de Costa Rica","Revista de Biología Tropical","","0034-7744","","https://www.redalyc.org/articulo.oa?id=44958812012","El Pacífico Norte de Costa Rica es una región biológicamente rica y de gran importancia económica para el país. Allí se da el fenómeno de surgencia entre diciembre y abril-mayo, cuando los Vientos Alisios mueven las aguas cálidas superficiales mar afuera y son sustituidas por aguas profundas, frías, ricas en nutrientes y con altas concentraciones de CO2. Este cambio estacional tiene consecuencias importantes para los organismos marinos. Este trabajo tiene el objetivo de recopilar todas las publicaciones disponibles sobre investigación marina y atmosférica en el Pacífico Norte de Costa Rica. Se ubicaron 587 documentos sobre organismos, ambientes, y procesos marinos, oceanográficos y atmosféricos. La mayoría son sobre biodiversidad, con descripciones y listas de especies, seguido por trabajos ecológicos. Hay pocas publicaciones sobre otros temas. Los manglares son los ecosistemas costeros más estudiados, seguido por los arrecifes coralinos; mientras que, de otros hay pocas publicaciones, si es que hay. Las tortugas marinas, crustáceos decápodos y moluscos son los organismos de los que hay más publicaciones, seguidos por bivalvos y peces. Bahía Culebra es el área más estudiada, con muchas más publicaciones que otras localidades, seguido por Bahía Santa Elena. La gran mayoría de las publicaciones son artículos científicos en revistas especialisadas (487). Además, hay un número importante de tesis, 36. La cantidad y diversidad de investigaciones publicadas sobre el Pacífico Norte es relativamente alta pero se debe continuar estudiando la región y los monitoreos se deben reforzar y expander. El Pacífico Norte de Costa Rica es una región cambiando rápidamente y se debe contar con la información científica para una gestión sostenible de sus ambientes marinos.","2014","2021-08-11 16:13:30","2021-08-11 16:13:30","","","","","","","","","","","","","","","Español","","","","","","","","","","","Ambientes marinos; Bibliografía; Bibliography; Ciencias marinas; Costa Rica; Marine science; Meteorología.; Meteorology.; Pacific coast","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K7V4LCKD","journalArticle","2008","Rumi, Gustavo A., AlejandraGutiérrez Gregoric, Diego E.Núñez, VerónicaDarrigran","Malacología Latinoamericana: Moluscos de agua dulce de Argentina","Revista de Biología Tropical","","0034-7744","","https://www.redalyc.org/articulo.oa?id=44918831006","Se presenta un estado de situación y una lista actualizada y comentada sobre las especies de moluscos de agua dulce de la República Argentina. Se aborda en Gastropoda y Bivalvia la distribución a nivel de familias; las entidades endémicas, exóticas, invasoras y de importancia sanitaria. Los moluscos relacionados a la cuenca del Plata presentan la mayor riqueza específica. Base de datos: 4 500 registros relevados de las tres colecciones más importantes de la Argentina: MLP, MACN y FML. Además, se incluye información de recolecciones actuales y localidades citadas por otros autores. Hasta el presente han sido descritas 166 especies. De ellas 101 pertenecen a 10 familias de Gastropoda y 65 a 7 de Bivalvia. Las familias que presentan mayor riqueza específica son Lithoglyphidae (22) y Sphaeriidae (25), respectivamente. Sphaeriidae, Cochliopidae, Chilinidae y Lymnaeidae se distribuyen prácticamente en todo el país. Erodonidae y Solecurtidae se registran en ambientes mixohalinos de la provincia de Buenos Aires. Thiaridae y Glacidorbiidae presentan una distribución muy restringida. Especies endémicas de la Argentina: Gastropoda: Ampullariidae (1), Cochliopidae (10), Lithoglyphidae (11), Thiariidae (3), Chilinidae (11), Lymnaeidae (2) y Physidae (2?); Bivalvia: Hyriidae (1?); Etheriidae (1?) y Sphaeriidae (10). Especies de interés sanitario: propagadoras de: Esquistosomiasis, Biomphalaria peregrina, B. straminea y B. tenagophila (Planorbidae); Fasciolasis, Lymnaea viatrix y L. columnella (Lymnaeidae); y dermatitis esquistosómicas, Chilina gibbosa y C. fluminea (Chilinidae). Especies de origen asiático: Corbicula fluminea (Corbiculidae) y Limnoperna fortunei (Mytilidae). Es prioritaria la formación de áreas protegidas para la conservación de especies endémicas, especialmente de la Mesopotamia Argentina.","2008","2021-08-11 16:13:30","2021-08-11 16:13:30","","","","","","","","","","","","","","","Español","","","","","","","","","","","Bivalvia; Argentina.; Freshwater molluscs; Gastropoda; Moluscos de agua dulce","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TTXFX4XN","journalArticle","2017","Barba-Macías, Cinthia, EverardoTrinidad-Ocaña","Nuevos registros de la almeja asiática invasora Corbicula fluminea (Bivalvia: Veneroida: Cyrenidae) en humedales de las cuencas Papaloapan, Grijalva y Usumacinta","Revista Mexicana de Biodiversidad","","1870-3453","","https://www.redalyc.org/articulo.oa?id=42551127021","Se proporcionan nuevos registros de la almeja asiática Corbicula fluminea (O. F Müller, 1774) para los humedales de las cuencas Papaloapan, Grijalva y Usumacinta. Se recolectó un total de 1,668 organismos en 7 localidades de la cuenca Papaloapan, 16 en Grijalva y 24 en Usumacinta, resultado de recolectas desde junio de 2011 hasta septiembre de 2015. Se registra su distribución en humedales riberenos, ˜ lacustres y estuarinos, en una diversidad de fondos desde limos hasta arenas, rocas y en sustratos con vegetación. Las mayores abundancias se presentaron para los humedales lacustres y en la cuenca del río Usumacinta. Se contribuye con el registro de 47 localidades en humedales de las cuencas del sureste, incrementando el conocimiento del estado que guardan las especies invasoras en el sureste de México, aun cuando hasta el momento no se han valorado los impactos ecológicos y económicos de las mismas.","2017","2021-08-11 16:13:30","2021-08-11 16:13:30","","","","","","","","","","","","","","","Español","","","","","","","","","","","Distribución; Distribution; Bivalvo exótico; Exotic bivalves; Lentic; Léntico; Lotic; Lótico; Mexican southeastern.; Sureste mexicano.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSX6BUE9","journalArticle","2017","Cruz-Soto, Rebeca, RafaelQuesada-Céspedes","Aspectos reproductivos de Anodonta Luteola Lea 1858 (Unionoida: Unionidae) en Cañas, Guanacaste, Costa Rica","Uniciencia","","","","https://www.redalyc.org/articulo.oa?id=475950939006","Se estudiaron los aspectos reproductivos de Anodonta luteola. Las muestras se obtuvieron de mayo de 2014 a abril de 2015 de un estanque de cultivo de tilapia (Oreochromis niloticus). El sexo se determinó mediante frotis de la gónada. La relación sexual se calculó dividiendo el número de hembras por el de machos y se utilizó la prueba de Chi-cuadrado para determinar sus diferencias significativas. Se determinó que A. luteola es dioica y la proporción sexual fue de 1.21:1 machos/hembras; sin embargo, el test Chi-cuadrado no mostró diferencias significativas de la proporción 1:1 (X2 =3.112, p>0.05). Las hembras se clasificaron en no grávidas y grávidas. Se calculó el índice de condición como IC = peso fresco de la carne / (longitud x altura diámetro) x 1000. Además, se calculó el rendimiento en carne. De acuerdo con los resultados, esta especie desova durante todo el año. Los picos de desove se observaron durante los meses de junio, agosto, octubre, marzo y abril. Las temperaturas más elevadas marcaron los principales picos de desove. El índice de condición no mostró correlación con ninguno de los estados de desarrollo de las demibranquias de las hembras. El rendimiento en carne osciló entre 47% y 51%.","2017","2021-08-11 16:13:30","2021-08-11 16:13:30","","","","","","","","","","","","","","","Español","","","","","","","","","","","Reproduction; Condición; Condition; Rendimiento.; Reproducción; Yield.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q5N8IBNC","journalArticle","2009","Lasso, Alejandro, Carlos A.Martínez-Escarbassiere, RafaelCapelo, Juan CarlosMorales-Betancourt, Mónica A.Sánchez-Maya","Lista de los moluscos (Gastropoda-Bivalvia) dulceacuícolas y estuarinos de la cuenca del Orinoco (Venezuela)","Biota Colombiana","","0124-5376","","https://www.redalyc.org/articulo.oa?id=49115088005","Se realizó una revisión bibliográfica y de colecciones en museos, así como de datos originales de los autores, para reconocer las especies dulceacuícolas y estuarinas de moluscos gastrópodos y bivalvos presentes en la cuenca del Orinoco (Venezuela). Se consolida un listado preliminar para la cuenca de 104 especies distribuidas entre la clase Gastropoda (14 familias y 58 especies) y la clase Bivalvia (13 familias y 45 especies). Entre los gastrópodos la familia Ampullaridae fue la más diversa (22 sp.) y entre los bivalvos, Mycetopodidae (16 sp.). Se incluye información sobre la distribución geográfica en las subcuencas de la Orinoquia, además de información de su uso, importancia sanitaria, hábitos ecológicos y tipo de sustrato asociado a las especies.","2009","2021-08-11 16:13:30","2021-08-11 16:13:30","","","","","","","","","","","","","","","Español","","","","","","","","","","","geographic distribution; bivalves; bivalvos; distribución geográfica; fresh and brackish water mollusk; gastrópodos; gastropods; moluscos dulceacuícolas y estuarinos; Orinoquia; Venezuela.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F7JGHJY5","journalArticle","2008","García Medina, Nairys, ErlánJesús Everton, Altemir deDiéguez Fernández, LorenzoEstévez Espinosa","Vectores de interés sanitario en la universidad médica de Camagüey: Sus implicaciones epidemiológicas","Archivo Médico de Camagüey","","","","https://www.redalyc.org/articulo.oa?id=211116118007","Se realizaron prospecciones entomológicas y malacológicas en la Universidad Médica de Camagüey dirigidas a detectar especies de vectores de importancia médico-veterinaria, debido a que en la misma cursan estudios jóvenes procedentes de 40 países, en los cuales de ordinario se reportan importantes enfermedades exóticas para nuestro país. Se identificaron 17 especies con marcada relevancia vectorial, 10 pertenecientes al Phylum Arthropoda Stegomyia aegypti, Anopheles albimanus, Culex quinquefasciatus, Cx. nigripalpus, Ochlerotattus taeniorhynchus y Uranotaenia sapphirina (Familia Culicidae), Musca domestica (Familia Muscidae) y Blatella germánica, Periplaneta americana y Periplaneta brunnea (Familia Blattoptera), así como siete pertenecientes al Phylum Mollusca, cinco dulceacuícolas Depanotrema cimex, Depanotrema sp. (Familia Depanotremidae), Tarebia granifera (Familia Thiaridae), Lymnaea cubensis (Familia Lymnaeidae) y Physa cubensis (Familia Physidae), y dos terrestres Zachrysia auricoma (Familia Camaenidae) y Succinea sp. (Familia Succineinae). Los más abundantes y con mayor variedad de especies resultaron ser los mosquitos. Dichas taxa obliga a diseñar e implementar un adecuado programa de vigilancia y control antivectorial, destinado a evitar la propagación de enfermedades exóticas en nuestro territorio y que están bajo vigilancia epidemiológica.","2008","2021-08-11 16:13:30","2021-08-11 16:13:30","","","","","","","","","","","","","","","Español","","","","","","","","","","","control de mosquitos; culicidae; Entomología; Entomology; epidemiologic surveillance; especificidad de especies; insect vectors; insectos vectores; medicina tropical; mosquito control; species specificity; tropical medicine; vigilancia epidemiológica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QZAB5PHA","journalArticle","2003","Naranjo García, Edna","Moluscos continentales de México: Dulceacuícolas","Revista de Biología Tropical","","0034-7744","","https://www.redalyc.org/articulo.oa?id=44911879022","Se han registrado 16 familias de moluscos dulceacuícolas en México, de ellos los estudios que se han realizado abarcan aspectos como el tipo de hábitat y la distribución de algunas especies. Las investigaciones sobre comportamiento así como de la biología de la especie Pomacea flagellata son las mas amplias con respecto a las otras especies de moluscos dulceacuícolas. En cuanto a estudios sobre la reproducción, estos se han realizado en Pomacea patula catemacensis. Mientras que solamente se encontró el estudio embrionario de la especie Helisoma trivolvis. Por otro lado, varias son las especies de limnéidos responsables de la transmisión de Fasciola hepatica en México (Lymnaea obrussa, L. humilis y L. cubense). Además, se han encontrado formas larvarias de trematodos de diversas especies en moluscos dulceacuícolas de las familias Planorbidae, Physidae, Lymnaeidae, Ancylidae y Pisidiidae. El cultivo de moluscos dulceacuícolas con cuatro tipos de dietas, se experimentó en las especies Lymaea bulimoides, L. cubensis y L. humilis. Mientras que el Piquerol A, extraído de Piqueria trinervia, es eficaz como molusquicida natural. Se ha registrado la relación del ser humano con los moluscos, en su aspecto de alimento, fuente de divisas, fuente de cal y como indicadores de contaminación. Finalmente, es evidente la necesidad de considerar a los moluscos como un recurso no renovable y en peligro de extinción.","2003","2021-08-11 16:13:31","2021-08-11 16:13:31","","","","","","","","","","","","","","","Español","","","","","","","","","","","biodiversity; Freshwater mollusks; .; Mexico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2G7PTLSP","journalArticle","2016","Lista, Yelipza, MaríaVelásquez, CarlosPrieto, AntulioLongart","Esfuerzo reproductivo, índice de engorde y rendimiento de Arca zebra (Filibranchia: Arcidae) por talla y su asociación con variables ambientales, Sucre, Venezuela","Revista de Biología Tropical","","0034-7744","","https://www.redalyc.org/articulo.oa?id=44945722015","","2016","2021-08-11 16:13:31","2021-08-11 16:13:31","","","","","","","","","","","","","","","Español","","","","","","","","","","","Arca zebra.; Esfuerzo reproductivo; fattening index; índice de engorde; rendimiento; Reproductive effort; yield","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RMS7PI77","journalArticle","2016","Villarroel-Moreno, Miguel A., José A.Acosta-Balbas, VanessaGuevara-Acosta","Movilización y utilización de los sustratos energéticos de Arca zebra (Bivalvia: Arcidae) en relación con el ambiente","Revista Ciencias Marinas y Costeras","","1659-455X","","https://www.redalyc.org/articulo.oa?id=633766724005","El análisis de los componentes bioquímicos en especies marinas para el consumo humano tiene una gran importancia, ya que permite conocer las propiedades alimenticias y energéticas del organismo. En el presente estudio, se evaluó el perfil bioquímico en tejidos de Arca zebra en relación con los factores ambientales, con la finalidad de ser utilizado como indicador de la dinámica reproductiva y de los periodos de engorde de este importante recurso pesquero. Se analizaron 20 organismos/ mes, entre julio de 2010-julio de 2011. A cada organismo se le determinó el largo total (LT) y se separaron los tejidos, los cuales se llevaron hasta peso constante para realizarles los análisis bioquímicos mediante espectrofotometría. Se establecieron diferencias mensuales en la LT, con un promedio anual de 69.61 mm, manteniéndose por encima de la talla comercial. Los carbohidratos y las proteínas mostraron diferencias entre meses, con valores máximos en marzo y julio de 2011, siendo el músculo quien registró el mayor contenido de ambos sustratos energéticos, asociados a los altos niveles de clorofila a. Se observó una relación inversa entre los carbohidratos y las proteínas en los tres tejidos con respecto a la masa gonadal, sugiriendo una posible transferencia durante el proceso reproductivo de A. zebra. En las gónadas se registró el mayor contenido de lípidos, sin variación mensual, debido a la sincronía reproductiva de la especie. A. zebra muestra su mejor condición nutricional durante los periodos comprendidos entre septiembre-diciembre y marzo-junio, en estos meses se recomienda su comercialización e ingesta.","2016","2021-08-11 16:13:31","2021-08-11 16:13:31","","","","","","","","","","","","","","","Español","","","","","","","","","","","Arcidae; biochemical components; Cl a); componentes bioquímicos; environmental factors (temperature; factores ambientales (temperatura; reproducción.; reproduction.; seston; Venezuela","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
