"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"RQDQJBJP","journalArticle","2018","Ramírez, Julián, Yuly PaulinaGiraldo, Lina PaolaZúñiga, María del CarmenRamos, Blanca CeciliaChará","Influencia de la ganadería en los macroinvertebrados acuáticos en microcuencas de los Andes centrales de Colombia","Revista de Biología Tropical","","0034-7744","","https://www.redalyc.org/articulo.oa?id=44959350024","En Colombia la actividad ganadera es de gran importancia para la economía rural y la oferta alimentaria del país. Con el fin de determinar el impacto de la ganadería y de los corredores ribereños sobre la comunidad de macroinvertebrados acuáticos en microcuencas Andinas, se seleccionaron nueve fuentes de agua de cabecera en el municipio de Villamaría (Caldas, Colombia), cinco de ellas con bosques ribereños y cuatro totalmente desprotegidas. En cada quebrada durante junio 2013 se recolectaron macroinvertebrados acuáticos usando una red D y una Surber, se tomaron muestras de agua, se midieron características del cauce y se determinó el índice de calidad de hábitat. En total se recolectaron 98 934 individuos distribuidos en nueve clases, 17 órdenes, 56 familias y 92 géneros. Veneroida fue el orden que presentó mayor abundancia seguido de Trichoptera, Diptera, Tubificida y Ephemeroptera. Coleoptera fue el orden que presentó mayor riqueza de géneros con 28, seguido de Diptera con 18, Trichoptera con 11, Ephemeroptera con 10 y Odonata con ocho. Las quebradas con corredor ribereño fueron significativamente más profundas, tuvieron mayor proporción de grava e Índice de Calidad de Hábitat y presentaron mayor riqueza de géneros que las quebradas desprotegidas (P < 0.05). Los géneros Acrobis, Ferrisia, Eurygerris, Heleobia y Pisidium, el nitrógeno total, el nitrógeno amoniacal y la proporción de limo, estuvieron correlacionados con las quebradas sin bosques ribereños, mientras que el género Rhagovelia, la subfamilia Chironominae, el índice de calidad de hábitat y la proporción de grava y piedras se correlacionaron con arroyos que tienen bosques ribereños. Los resultados de este estudio confirman que la presencia de bosques en zonas de ribera ayuda a amortiguar el impacto negativo que generan las prácticas ganaderas sobre las microcuencas y mejoran los servicios ambientales que estas prestan, por lo que se recomienda mantener la franja de vegetación ribereña en arroyos que la poseen y permitir el establecimiento de esta en arroyos desprovistos de bosque en sus las laderas.","2018","2021-08-11 16:13:49","2021-08-11 16:13:49","","","","","","","","","","","","","","","Español","","","","","","","","","","","benthos; bentos; bosques ribereños.; calidad de agua; microbasins; microcuencas; riparian corridors; water quality.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y24CDDTU","journalArticle","2008","Rumi, Gustavo A., AlejandraGutiérrez Gregoric, Diego E.Núñez, VerónicaDarrigran","Malacología Latinoamericana: Moluscos de agua dulce de Argentina","Revista de Biología Tropical","","0034-7744","","https://www.redalyc.org/articulo.oa?id=44918831006","Se presenta un estado de situación y una lista actualizada y comentada sobre las especies de moluscos de agua dulce de la República Argentina. Se aborda en Gastropoda y Bivalvia la distribución a nivel de familias; las entidades endémicas, exóticas, invasoras y de importancia sanitaria. Los moluscos relacionados a la cuenca del Plata presentan la mayor riqueza específica. Base de datos: 4 500 registros relevados de las tres colecciones más importantes de la Argentina: MLP, MACN y FML. Además, se incluye información de recolecciones actuales y localidades citadas por otros autores. Hasta el presente han sido descritas 166 especies. De ellas 101 pertenecen a 10 familias de Gastropoda y 65 a 7 de Bivalvia. Las familias que presentan mayor riqueza específica son Lithoglyphidae (22) y Sphaeriidae (25), respectivamente. Sphaeriidae, Cochliopidae, Chilinidae y Lymnaeidae se distribuyen prácticamente en todo el país. Erodonidae y Solecurtidae se registran en ambientes mixohalinos de la provincia de Buenos Aires. Thiaridae y Glacidorbiidae presentan una distribución muy restringida. Especies endémicas de la Argentina: Gastropoda: Ampullariidae (1), Cochliopidae (10), Lithoglyphidae (11), Thiariidae (3), Chilinidae (11), Lymnaeidae (2) y Physidae (2?); Bivalvia: Hyriidae (1?); Etheriidae (1?) y Sphaeriidae (10). Especies de interés sanitario: propagadoras de: Esquistosomiasis, Biomphalaria peregrina, B. straminea y B. tenagophila (Planorbidae); Fasciolasis, Lymnaea viatrix y L. columnella (Lymnaeidae); y dermatitis esquistosómicas, Chilina gibbosa y C. fluminea (Chilinidae). Especies de origen asiático: Corbicula fluminea (Corbiculidae) y Limnoperna fortunei (Mytilidae). Es prioritaria la formación de áreas protegidas para la conservación de especies endémicas, especialmente de la Mesopotamia Argentina.","2008","2021-08-11 16:13:49","2021-08-11 16:13:49","","","","","","","","","","","","","","","Español","","","","","","","","","","","Bivalvia; Argentina.; Freshwater molluscs; Gastropoda; Moluscos de agua dulce","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RTAFWKEW","journalArticle","2014","Czaja, Jorge A., AlexanderPalacios-Fest, Manuel R.Estrada-Rodríguez, José LuisRomero Méndez, UlisesAlba Ávila","Inland dunes fauna and flora from Paleolake Irritila in the Comarca Lagunera, Coahuila, northern Mexico","Boletín de la Sociedad Geológica Mexicana","","1405-3322","","https://www.redalyc.org/articulo.oa?id=94332984009","","2014","2021-08-11 16:13:49","2021-08-11 16:13:49","","","","","","","","","","","","","","","Español","","","","","","","","","","","dunas; fauna de moluscos pleistocénicos; inland dunes; norte de México; northern Mexico.; Paleolago; Paleolake; Pleistocene mollusk fauna","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIHF9AJH","journalArticle","2014","Giraldo, Gloria, Lina PaolaChará, JuliánZúñiga, María del CarmenChará-Serna, Ana MarcelaPedraza","Impacto del uso del suelo agropecuario sobre macroinvertebrados acuáticos en pequeñas quebradas de la cuenca del río La Vieja (Valle del Cauca, Colombia)","Revista de Biología Tropical","","0034-7744","","https://www.redalyc.org/articulo.oa?id=44932430014","Con el fin de determinar el impacto del uso del suelo sobre las características bióticas y abióticas de quebradas en la cuenca del río La Vieja, se evaluaron 21 quebradas en los municipios de Alcalá, Ulloa y Cartago (Valle del Cauca). Siete quebradas estaban protegidas por franjas de vegetación ribereña, ocho tenían influencia agrícola y seis influencia ganadera. Se registraron las condiciones de protección y perturbación del hábitat, aspectos físicos del cauce, se tomaron muestras de agua para análisis fisicoquí - mico y bacteriológico, y se recolectaron macroinvertebra - dos acuáticos. En las quebradas con influencia ganadera los sólidos disueltos, la alcalinidad, conductividad y fósforo total fueron significativamente mayores, mientras que el oxígeno disuelto fue significativamente menor. Las que - bradas agrícolas y protegidas presentaron más sustratos gruesos y más tipos de corriente. Se recolectaron 26 777 macroinvertebrados de 17 órdenes, 72 familias y 95 géne - ros. Los grupos con mayor abundancia relativa fueron Diptera 62.8%, (Chironomidae 49.6%, Ceratopogonidae 6.7%), Mollusca 18.8% (Hydrobiidae 7.2%, Sphaeriidae 9.6%) y Trichoptera 5.7% (Hydropsychidae 3.7%). Ephe - meroptera, Trichoptera y Plecoptera, presentaron mayor abundancia en las quebradas protegidas y con influencia agrícola, mientras los dípteros y moluscos fueron más abundantes en las ganaderas. Las quebradas protegidas y agrícolas presentan mejores condiciones físicas y biológi - cas que las quebradas con influencia ganadera.","2014","2021-08-11 16:13:49","2021-08-11 16:13:49","","","","","","","","","","","","","","","Español","","","","","","","","","","","agricultura; agriculture; Andean streams; aquatic insects; biomonitoreo; biomonitoring; ganadería .; insectos acuáticos; pastures.; Quebradas andinas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CWDC5MCI","journalArticle","2010","Cartajena, Ismael, IsabelLópez, PatricioMartínez","New camelid (Artiodactyla: Camelidae) record from the late Pleistocene of Calama (Second Region, Chile): a morphological and morphometric discussion","Revista Mexicana de Ciencias Geológicas","","1026-8774","","https://www.redalyc.org/articulo.oa?id=57216002001","","2010","2021-08-11 16:13:49","2021-08-11 16:13:49","","","","","","","","","","","","","","","Español","","","","","","","","","","","camélidos sudamericanos; Lama gracilis; late Pleistocene; Norte de Chile; Northern Chile; Pleistoceno tardío; South American camelids","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PXJGKZCA","journalArticle","2019","MENESES-CAMPO, Angela María, YanethCASTRO-REBOLLEDO, María IsabelJARAMILLO-LONDOÑO","COMPARACIÓN DE LA CALIDAD DEL AGUA EN DOS RÍOS ALTOANDINOS MEDIANTE EL USO DE LOS ÍNDICES BMWP/COL. Y ABI","Acta Biológica Colombiana","","0120-548X","","https://www.redalyc.org/articulo.oa?id=319060771010","Se comparó la calidad ecológica del río Tota durante agosto 2007 y febrero 2008, y el curso alto del río Bogotá entre los meses de octubre 2013 y enero 2014, aplicando los índices BMWP/Col y ABI. Los puntos de muestreo corresponden a la parte alta, media y baja del gradiente longitudinal. En el río Tota se determinaron 27 familias correspondientes a 11 órdenes, donde las más abundantes fueron Baetidae (25,43 %), Leptohyphidae (16,43 %), Naididae (13,76 %), Chironomidae (11,42 %) y Hyalellidae (10,30 %). En el curso alto del río Bogotá se determinaron 32 familias correspondientes a 13 órdenes, y las más abundantes fueron Chironomidae (28,94 %), Leptoceridae (25,20 %), Naididae (18,34 %) y Simuliidae (8,63 %). En el río Tota, El BMWP/Col. presentó una calidad de agua buena, mientras que el ABI presentó una calidad aceptable. Por otra parte, en la parte alta del Río Bogotá, tanto el BMWP/ Col. como el ABI presentaron variaciones en la calidad del agua entre aceptable y muy crítica. El ACC para el río Tota mostró correlaciones entre la temperatura y conductividad con las familias Hyalellidae y Leptohyphidae mientras que el caudal se relaciona con Sphaeriidae; mientras que el curso alto del río Bogotá se correlacionó el caudal, la conductividad y la temperatura con la familia Veliidae. A manera de conclusión, los resultados obtenidos denotan que el índice ABI, que es un índice creado para sistemas andinos de montaña, es más sensible a los impactos que el índice BMWP/Col.","2019","2021-08-11 16:13:49","2021-08-11 16:13:49","","","","","","","","","","","","","","","Español","","","","","","","","","","","Aquatic macroinvertebrates; biological indicators; biotic indexes; ecological state.; environmental impact; Estado ecológico; impacto ambiental; indicadores biológicos; índices bióticos; macroinvertebrados acuáticos.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QR7384JX","journalArticle","2017","Gamarra, Andrea A., YolandaRestrepo, RicardoCerón-Vivas, AlexandraVillamizar, MaryoryArenas, ReinaldoVega, Claudia I.Avila","Aplicación del protocolo CERA-S para determinar la calidad ecológica de la microcuenca Mamarramos (cuenca Cane-Iguaque), Santuario de Fauna y Flora Iguaque (Boyacá), Colombia","Biota Colombiana","","0124-5376","","https://www.redalyc.org/articulo.oa?id=49162495002","La protección y conservación de los ríos en zonas de reserva y recarga de acuíferos en Colombia es de vital importancia y uno de los principales compromisos del gobierno, debido a que en estos ecosistemas se forman cuerpos hídricos, que ofrecen bienes y servicios, asociados al suministro de agua para las principales ciudades. El Santuario de Fauna y Flora Iguaque (SFFI) es un área protegida de la región andina colombiana, que presenta ecosistemas de páramo y bosque andino. Es administrado por Parques Nacionales Naturales de Colombia (PNN) y provee de agua a comunidades urbanas y rurales en su zona de influencia. Para determinar la calidad ecológica de la microcuenca Mamarramos se realizó un monitoreo, en el que se aplicó el protocolo CERA-S (Calidad Ecológica de Ríos Andinos Simplificado); esta herramienta integra la calidad hidromorfológica y el índice biótico ABI. En este estudio se realizaron tres jornadas de muestreo en estiaje (octubre, noviembre y diciembre de 2015) seleccionando 10 puntos de monitoreo sobre las quebradas Carrizal, Francos y Mamarramos. Los resultados obtenidos califican a la microcuenca en categoría excelente, proporcionando información que permite a los líderes políticos y comunitarios, tomar decisiones para acciones de conservación y prevención del deterioro del ecosistema por actividades antrópicas.","2017","2021-08-11 16:13:49","2021-08-11 16:13:49","","","","","","","","","","","","","","","Español","","","","","","","","","","","Área protegida; Bioindicadores; Bioindicators; Ecosistemas altoandinos; Hidromorfológico; High-andean ecosystems; Hydromorphologic; Macroinvertebrados.; Macroinvertebrates; Protected area.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZAGJJRA7","journalArticle","2011","da Silva, Sílvio Jacks, Fábio HenriqueFavero, SilvioSabino, Josédos Anjos Garnés","Índices bióticos para avaliação da qualidade ambiental em trechos do rio Correntoso, Pantanal do Negro, Estado do Mato Grosso do Sul, Brasil","Acta Scientiarum. Biological Sciences","","1679-9283","","https://www.redalyc.org/articulo.oa?id=187121350007","pt: Este trabalho teve como objetivo pesquisar a estrutura da comunidade de insetos aquáticos, utilizando esta comunidade como indicadora da qualidade ambiental de um trecho do rio Correntoso, Pantanal do Negro, Mato Grosso do Sul, Brasil. Foram realizadas seis campanhas de coleta em diferentes períodos sazonais: vazante, seca e cheia. Os organismos foram coletados utilizando rede D com malha de 300 mm e esforço amostral de cinco lances de rede nas raízes dos bancos de macrófitas. Foram comparados três ambientes (aberto, intermediário e fechado), por junção dos dados obtidos de seis sítios de coleta. Foi analisada a riqueza, abundância absoluta e relativa das famílias de insetos amostrados e a avaliação da qualidade da água usando o índice BMWP, índice BMWP-ASPT, índice IBF e índice de diversidade de Shannon- Wienner, com log2. Foram registradas 60 famílias pertencentes a 12 ordens da Classe Insecta, totalizando 19.773 indivíduos coletados. Entre os índices aplicados, o índice BMWP foi o que melhor representou as condições do ambiente estudado.","2011","2021-08-11 16:13:49","2021-08-11 16:13:49","","","","","","","","","","","","","","","Español","","","","","","","","","","","Aquatic entomofauna; bioindicadores; bioindicators; Entomofauna aquática; floodplain.; planície de inundação.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NBGBRX8A","journalArticle","2017","Barba-Macías, Cinthia, EverardoTrinidad-Ocaña","Nuevos registros de la almeja asiática invasora Corbicula fluminea (Bivalvia: Veneroida: Cyrenidae) en humedales de las cuencas Papaloapan, Grijalva y Usumacinta","Revista Mexicana de Biodiversidad","","1870-3453","","https://www.redalyc.org/articulo.oa?id=42551127021","Se proporcionan nuevos registros de la almeja asiática Corbicula fluminea (O. F Müller, 1774) para los humedales de las cuencas Papaloapan, Grijalva y Usumacinta. Se recolectó un total de 1,668 organismos en 7 localidades de la cuenca Papaloapan, 16 en Grijalva y 24 en Usumacinta, resultado de recolectas desde junio de 2011 hasta septiembre de 2015. Se registra su distribución en humedales riberenos, ˜ lacustres y estuarinos, en una diversidad de fondos desde limos hasta arenas, rocas y en sustratos con vegetación. Las mayores abundancias se presentaron para los humedales lacustres y en la cuenca del río Usumacinta. Se contribuye con el registro de 47 localidades en humedales de las cuencas del sureste, incrementando el conocimiento del estado que guardan las especies invasoras en el sureste de México, aun cuando hasta el momento no se han valorado los impactos ecológicos y económicos de las mismas.","2017","2021-08-11 16:13:49","2021-08-11 16:13:49","","","","","","","","","","","","","","","Español","","","","","","","","","","","Distribución; Distribution; Bivalvo exótico; Exotic bivalves; Lentic; Léntico; Lotic; Lótico; Mexican southeastern.; Sureste mexicano.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EQRV973Q","journalArticle","2007","Cózatl Manzano, Edna, RobertoNaranjo García","First records of freshwater molluscs from the ecological reserve El Edén, QuintanaRoo, Mexico","Revista Mexicana de Biodiversidad","","1870-3453","","https://www.redalyc.org/articulo.oa?id=42578207","","2007","2021-08-11 16:13:49","2021-08-11 16:13:49","","","","","","","","","","","","","","","Español","","","","","","","","","","","diversity; bivalves; bivalvos; abundance.; abundancia.; Caracoles; diversidad; dulceacuícolas; Freshwater snails; península de Yucatán; Yucatan Peninsula","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
