ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
" ""S0188-88972015000200239-mex""","Riqueza de moluscos acuáticos en las Cuencas Hidrológicas Río Grijalva-Villahermosa y Río Tonalá, Lagunas del Carmen-Machona en Tabasco, México","Mellado Hernández, Sujeidy Vianey, Rangel Ruíz, Luis José, Gamboa Aguilar, Jaquelina, Arévalo de la Cruz, Juan Armando, Montiel Moreno, Joel, García Morales, Miguelina, Arias García, Silvia, Padrón López, Rosa Martha, Pacheco Figueroa, Coral Jazvel, Gama Campillo, Lilia",Hidrobiológica; 25(2); 239-247,Hidrobiológica,Espanhol,2015,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-88972015000200239&lang=pt 
S0185-38802008000300004-mex,"Efectos de la exposición al arsénico en Corbicula fluminea: Evaluación de las respuestas histológicas, histoquímicas y bioquímicas","Diniz, MS, Santos, HM, Costa, PM, Peres, I, Costa, MH, Alves, S, Capelo-Martinez, JL",Ciencias marinas; 34(3); 307-316,Ciencias marinas,Espanhol,2008,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-38802008000300004&lang=pt 
S0188-88972017000100115-mex,Reconstrucción filogenética de Sphaeriidae (Veneroida: Bivalvia) y la posición filogenética de Pisidium chilense,"Fuentealba-Jara, Carmen, D’Elia, Guillermo, González, Fidelina, Franco-Jaccard, Cristian",Hidrobiológica; 27(1); 115-117,Hidrobiológica,Espanhol,2017,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-88972017000100115&lang=pt 
S1870-34532017000200450-mex,"Nuevos registros de la almeja asiática invasora Corbicula fluminea (Bivalvia: Veneroida: Cyrenidae) en humedales de las cuencas Papaloapan, Grijalva y Usumacinta","Barba-Macías, Everardo, Trinidad-Ocaña, Cinthia",Revista mexicana de biodiversidad; 88(2); 450-453,Revista mexicana de biodiversidad,Espanhol,2017,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532017000200450&lang=pt 
S0188-88972016000300419-mex,"Macroinvertebrados bentónicos de dos lagos tropicales de alta montaña en el volcán Nevado de Toluca, en la región central de México","Oseguera, Luis A., Alcocer, Javier, Escobar, Elva",Hidrobiológica; 26(3); 419-432,Hidrobiológica,Espanhol,2016,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-88972016000300419&lang=pt 
S1870-74592019000200108-mex,¿Amenaza un bivalvo exótico al rascón picudo en Baja California?,"Moreno-Higareda, Hiram Rafael, Campos, Ernesto, Cueva, Horacio de la, García-Zárate, Marco A., Martínez-Ríos Del Río, Laura",Huitzil; 20(2); -,Huitzil,Espanhol,2019,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-74592019000200108&lang=pt 
S0717-65382019000100021-chl,"Time lapse photography with two different camera systems for in situ observation of the bivalve Diplodon chilensis (Gray, 1828) in a southern Chilean lake","Kohlberg, Gesche, Herbst, Anne, Niedzwiedz, Gerd, Woelfl, Stefan, Nimptsch, Jorge, Schories, Dirk",Gayana (Concepción); 83(1); 21-32,Gayana (Concepción),Inglês,2019,http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382019000100021&lang=pt 
S1659-42662017000100039-cri,"Taxonomic position and glochidia from the freshwater mussel, Anodonta luteola (Unionoida: Unionidae), in Costa Rica","Cruz, Rafael A., Quesada, Rebeca",Cuadernos de Investigación UNED; 9(1); 39-43,Cuadernos de Investigación UNED,Inglês,2017,http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1659-42662017000100039&lang=pt 
S1726-22162018000200003-per,Invertebrados bentónicos como bioindicadores de calidad de agua en lagunas Altoandinas del Perú,"Tapia, Liliana, Sánchez, Tito, Baylón, Maribel, Jara, Enoc, Arteaga, Caren, Maceda, Diego, Salvatierra, Alan",Ecología Aplicada; 17(2); 149-163,Ecología Aplicada,Espanhol,2018,http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-22162018000200003&lang=pt 
S0034-77442016000200747-cri,Patrones espaciales en comunidades de macroinvertebrados acuáticos de la Puna Argentina,"Nieto, Carolina, Malizia, Agustina, Carilla, Julieta, Izquierdo, Andrea, Rodríguez, José, Cuello, Soledad, Zannier, Martín, Grau, H. Ricardo",Revista de Biología Tropical; 64(2); 747-762,Revista de Biología Tropical,Espanhol,2016,http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442016000200747&lang=pt 
S1025-02552007000200008-cub,"PRESENCIA Y DISTRIBUCIÓN DE CORBICULA FLUMINEA (MÜLLER, 1774) (BIVALVIA: CORBICULIDAE) EN CAMAGÜEY, UN PROBABLE COMPETIDOR DE MOLUSCOS DE INTERÉS SANITARIO","Diéguez Fernández, Lorenzo, Rodríguez de la Vega, Ricardo, Vázquez Capote, Raisa, Cruz Pineda, Carlos Alberto",Revista Archivo Médico de Camagüey; 11(2); -,Revista Archivo Médico de Camagüey,Espanhol,2007,http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552007000200008&lang=pt 
S1676-06032021000300206-scl,Limnoperna fortunei - Updating the geographic distribution in the Brazilian watersheds and mapping the regional occurrence in the Upper Uruguay River basin,"Hermes-Silva, Samara, Ribolli, Josiane, Ávila-Simas, Sunshine de, Zaniboni-Filho, Evoy, Cardoso, Grasiela Fagundes Minatto, Nuñer, Alex Pires de Oliveira",Biota Neotropica; 21(3); -,Biota Neotropica,Inglês,2021,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032021000300206&lang=pt 
