"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"SKPB4DRL","journalArticle","2015","Mellado Hernández, Lilia, Sujeidy Vianey, Rangel Ruíz, Luis José, Gamboa Aguilar, Jaquelina, Arévalo de la Cruz, Juan Armando, Montiel Moreno, Joel, García Morales, Miguelina, Arias García, Silvia, Padrón López, Rosa Martha, Pacheco Figueroa, Coral Jazvel, Gama Campillo","Riqueza de moluscos acuáticos en las Cuencas Hidrológicas Río Grijalva-Villahermosa y Río Tonalá, Lagunas del Carmen-Machona en Tabasco, México","Hidrobiológica","","","","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-88972015000200239&lang=pt","","2015-08","2021-08-11 16:16:01","2021-08-11 16:16:01","","239-247","","","25","","","","","","","","","","en, es","","","","","","","Publisher: scielo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IBHQE55S","journalArticle","2008","Diniz, JL, MS, Santos, HM, Costa, PM, Peres, I, Costa, MH, Alves, S, Capelo-Martinez","Efectos de la exposición al arsénico en Corbicula fluminea: Evaluación de las respuestas histológicas, histoquímicas y bioquímicas","Ciencias marinas","","","","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-38802008000300004&lang=pt","","2008","2021-08-11 16:16:01","2021-08-11 16:16:01","","307-316","","","34","","","","","","","","","","en, es","","","","","","","Publisher: scielo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UYK5UHNW","journalArticle","2017","Fuentealba-Jara, Cristian, Carmen, D’Elia, Guillermo, González, Fidelina, Franco-Jaccard","Reconstrucción filogenética de Sphaeriidae (Veneroida: Bivalvia) y la posición filogenética de Pisidium chilense","Hidrobiológica","","","","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-88972017000100115&lang=pt","","2017-04","2021-08-11 16:16:01","2021-08-11 16:16:01","","115-117","","","27","","","","","","","","","","en, es","","","","","","","Publisher: scielo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UWLTMV32","journalArticle","2017","Barba-Macías, Cinthia, Everardo, Trinidad-Ocaña","Nuevos registros de la almeja asiática invasora Corbicula fluminea (Bivalvia: Veneroida: Cyrenidae) en humedales de las cuencas Papaloapan, Grijalva y Usumacinta","Revista mexicana de biodiversidad","","","","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532017000200450&lang=pt","","2017-06","2021-08-11 16:16:01","2021-08-11 16:16:01","","450-453","","","88","","","","","","","","","","en, es","","","","","","","Publisher: scielo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAMYRJ3K","journalArticle","2016","Oseguera, Elva, Luis A., Alcocer, Javier, Escobar","Macroinvertebrados bentónicos de dos lagos tropicales de alta montaña en el volcán Nevado de Toluca, en la región central de México","Hidrobiológica","","","","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-88972016000300419&lang=pt","","2016-12","2021-08-11 16:16:01","2021-08-11 16:16:01","","419-432","","","26","","","","","","","","","","en, es","","","","","","","Publisher: scielo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FKDM5VYZ","journalArticle","2019","Moreno-Higareda, Laura, Hiram Rafael, Campos, Ernesto, Cueva, Horacio de la, García-Zárate, Marco A., Martínez-Ríos Del Río","¿Amenaza un bivalvo exótico al rascón picudo en Baja California?","Huitzil","","","","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-74592019000200108&lang=pt","","2019","2021-08-11 16:16:01","2021-08-11 16:16:01","","","","","20","","","","","","","","","","en, es","","","","","","","Publisher: scielo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q78WXT7L","journalArticle","2019","Kohlberg, Dirk, Gesche, Herbst, Anne, Niedzwiedz, Gerd, Woelfl, Stefan, Nimptsch, Jorge, Schories","Time lapse photography with two different camera systems for in situ observation of the bivalve Diplodon chilensis (Gray, 1828) in a southern Chilean lake","Gayana (Concepción)","","","","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382019000100021&lang=pt","","2019-06","2021-08-11 16:16:01","2021-08-11 16:16:01","","21-32","","","83","","","","","","","","","","en, es","","","","","","","Publisher: scielo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E27HPU32","journalArticle","2017","Cruz, Rebeca, Rafael A., Quesada","Taxonomic position and glochidia from the freshwater mussel, Anodonta luteola (Unionoida: Unionidae), in Costa Rica","Cuadernos de Investigación UNED","","","","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1659-42662017000100039&lang=pt","","2017-06","2021-08-11 16:16:01","2021-08-11 16:16:01","","39-43","","","9","","","","","","","","","","es, en","","","","","","","Publisher: scielo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TFXIVYR6","journalArticle","2018","Tapia, Alan, Liliana, Sánchez, Tito, Baylón, Maribel, Jara, Enoc, Arteaga, Caren, Maceda, Diego, Salvatierra","Invertebrados bentónicos como bioindicadores de calidad de agua en lagunas Altoandinas del Perú","Ecología Aplicada","","","","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-22162018000200003&lang=pt","","2018-07","2021-08-11 16:16:01","2021-08-11 16:16:01","","149-163","","","17","","","","","","","","","","es, en","","","","","","","Publisher: scielo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENESWM5J","journalArticle","2016","Nieto, H. Ricardo, Carolina, Malizia, Agustina, Carilla, Julieta, Izquierdo, Andrea, Rodríguez, José, Cuello, Soledad, Zannier, Martín, Grau","Patrones espaciales en comunidades de macroinvertebrados acuáticos de la Puna Argentina","Revista de Biología Tropical","","","","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442016000200747&lang=pt","","2016-06","2021-08-11 16:16:01","2021-08-11 16:16:01","","747-762","","","64","","","","","","","","","","es, en","","","","","","","Publisher: scielo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
